Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NEE,Nextera Energy,74.98,0.65,0.87%,75.16,74.16,1387500,12/24/20
NFLX,Netflix Inc,513.97,-0.51,-0.10%,519.34,512.21,1143900,12/24/20
NKE,Nike Inc,141.6,-0.16,-0.11%,142.19,141.1,1821900,12/24/20
NVDA,Nvidia Corp,519.75,-0.62,-0.12%,525.3,517.55,2447000,12/24/20
ORCL,Oracle Corp,64.96,-0.34,-0.52%,65.59,64.78,3796400,12/24/20
OXY,Occidental Petroleum Corp,17.67,-0.22,-1.23%,18.17,17.4,9203900,12/24/20
PEP,Pepsico Inc,145.06,0.65,0.45%,145.11,144.14,883200,12/24/20
PFE,Pfizer Inc,37.27,-0.17,-0.45%,37.57,37.18,14790101,12/24/20
PG,Procter & Gamble Company,137.72,1.38,1.01%,138.13,136.2,2588100,12/24/20
PM,Philip Morris International Inc,82.51,0.31,0.38%,82.6,82.03,1128500,12/24/20
PYPL,Paypal Holdings,238.64,-0.8,-0.33%,242.12,238.09,3053700,12/24/20
QCOM,Qualcomm Inc,148.79,1.83,1.25%,148.9,147.2,2120100,12/24/20
RTX,Raytheon Technologies Corp,70.27,-0.45,-0.64%,70.95,69.89,1758600,12/24/20
SBUX,Starbucks Corp,102.01,-0.05,-0.05%,102.36,101.68,1949100,12/24/20
SLB,Schlumberger N.V.,21.64,-0.28,-1.28%,21.99,21.46,3664900,12/24/20
SO,Southern Company,59.8,0.42,0.71%,59.85,59.3,857900,12/24/20
SPG,Simon Property Group,84.37,0.72,0.86%,84.59,83.05,810600,12/24/20
T,AT&T Inc,28.69,-0.06,-0.21%,28.76,28.5,19153000,12/24/20
TGT,Target Corp,175.19,0.28,0.16%,176.51,174.67,1941200,12/24/20
TMO,Thermo Fisher Scientific Inc,458.09,-0.25,-0.05%,462.21,456.41,442000,12/24/20
TXN,Texas Instruments,161.64,0.66,0.41%,161.85,160.48,1044300,12/24/20
UNH,Unitedhealth Group Inc,340.79,3.2,0.95%,341.41,336.44,1360500,12/24/20
UNP,Union Pacific Corp,203.39,2.22,1.10%,203.85,200.48,691700,12/24/20
UPS,United Parcel Service,172.19,-0.45,-0.26%,173.35,171.47,1006000,12/24/20
USB,U.S. Bancorp,46.49,-0.24,-0.51%,46.73,46.01,1980900,12/24/20
V,Visa Inc,208.7,3.4,1.66%,208.82,206.6,3367800,12/24/20
VZ,Verizon Communications Inc,58.84,-0.12,-0.20%,59.07,58.66,7751100,12/24/20
WBA,Walgreens Boots Alliance,39.62,-0.25,-0.63%,40.04,39.08,2677900,12/24/20
WFC,Wells Fargo & Company,29.84,-0.51,-1.68%,30.38,29.66,14443700,12/24/20
WMT,Wal-Mart Stores,143.5,0.28,0.20%,144.39,143.18,3018100,12/24/20
XOM,Exxon Mobil Corp,41.6,-0.17,-0.41%,41.85,41.38,8039000,12/24/20
