Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NXPI,Nxp Semiconductors,157.33,0.47,0.30%,157.93,156.51,480400,12/24/20
ORLY,O'Reilly Automotive,461.76,3.83,0.84%,462.73,456.32,257200,12/24/20
PAYX,Paychex Inc,94.71,0.31,0.33%,95.01,93.38,842200,12/24/20
PCAR,Paccar Inc,86.11,1.02,1.20%,86.2,85,372900,12/24/20
PDD,Pinduoduo Inc ADR,152.75,12.5,8.91%,156.98,137,13847601,12/24/20
PEP,Pepsico Inc,145.06,0.65,0.45%,145.11,144.14,883200,12/24/20
PYPL,Paypal Holdings,238.64,-0.8,-0.33%,242.12,238.09,3053700,12/24/20
QCOM,Qualcomm Inc,148.79,1.83,1.25%,148.9,147.2,2120100,12/24/20
REGN,Regeneron Pharmaceuticals,488.93,-3.26,-0.66%,495.23,486.03,289100,12/24/20
ROST,Ross Stores Inc,118.02,-0.12,-0.10%,118.29,116.84,608700,12/24/20
SBUX,Starbucks Corp,102.01,-0.05,-0.05%,102.36,101.68,1949100,12/24/20
SGEN,Seattle Genetics Inc,190.61,-0.58,-0.30%,192.05,189.96,248000,12/24/20
SIRI,Sirius XM Holdings,6.3,0.03,0.56%,6.32,6.25,5567300,12/24/20
SNPS,Synopsys Inc,256.28,1.58,0.62%,257.48,253.81,200200,12/24/20
SPLK,Splunk Inc,180.2,-2.35,-1.29%,184.71,179.68,1150200,12/24/20
SWKS,Skyworks Solutions,151.21,0.47,0.31%,151.35,149.5,480400,12/24/20
TCOM,Trip.com Group Ltd,31.99,-0.64,-1.96%,32.3,31.58,4290600,12/24/20
TMUS,T-Mobile US,132.92,0.69,0.52%,133.83,132.59,901100,12/24/20
TSLA,Tesla Inc,661.77,15.79,2.44%,666.09,641,22865500,12/24/20
TTWO,Take-Two Interacti,202.5,0.68,0.34%,204.44,201.49,211600,12/24/20
TXN,Texas Instruments,161.64,0.66,0.41%,161.85,160.48,1044300,12/24/20
ULTA,Ulta Beauty Inc,264.64,-3.82,-1.42%,268.39,263.93,271000,12/24/20
VRSK,Verisk Analytics Inc,201.23,1.26,0.63%,201.78,199.95,145000,12/24/20
VRSN,Verisign Inc,214.59,0.58,0.27%,215.23,213.13,139800,12/24/20
VRTX,Vertex Pharmaceutic,234.46,-1.38,-0.59%,237.5,233.48,451600,12/24/20
WBA,Walgreens Boots Alliance,39.62,-0.25,-0.63%,40.04,39.08,2677900,12/24/20
WDAY,Workday Inc,248.76,0,0.00%,251.35,245.43,599900,12/24/20
XEL,XCEL Energy Inc,64.63,0.32,0.50%,64.75,64.04,598400,12/24/20
XLNX,Xilinx Inc,141.99,0,0.00%,143.56,141.44,1167500,12/24/20
ZM,Zoom Video Communications Cl A,375.17,-8.71,-2.27%,384.88,375,3850700,12/24/20
